,state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
260,Michigan,MI,Ontonagon County,26131,Republican,Donald Trump,519,0.48
261,Michigan,MI,Ontonagon County,26131,Republican,Ted Cruz,209,0.19
262,Michigan,MI,Ontonagon County,26131,Republican,John Kasich,203,0.19
263,Michigan,MI,Ontonagon County,26131,Republican,Marco Rubio,95,0.09
264,Michigan,MI,Osceola County,12097,Republican,Donald Trump,1812,0.43
265,Michigan,MI,Osceola County,12097,Republican,Ted Cruz,1276,0.3
266,Michigan,MI,Osceola County,12097,Republican,John Kasich,645,0.15
267,Michigan,MI,Osceola County,12097,Republican,Marco Rubio,294,0.07
268,Michigan,MI,Oscoda County,26135,Republican,Donald Trump,705,0.47
269,Michigan,MI,Oscoda County,26135,Republican,Ted Cruz,369,0.25
270,Michigan,MI,Oscoda County,26135,Republican,John Kasich,247,0.17
271,Michigan,MI,Oscoda County,26135,Republican,Marco Rubio,90,0.06
272,Michigan,MI,Otsego County,26137,Republican,Donald Trump,1933,0.45
273,Michigan,MI,Otsego County,26137,Republican,Ted Cruz,1040,0.24
274,Michigan,MI,Otsego County,26137,Republican,John Kasich,800,0.19
275,Michigan,MI,Otsego County,26137,Republican,Marco Rubio,342,0.08
276,Michigan,MI,Ottawa County,20143,Republican,Ted Cruz,23862,0.4
277,Michigan,MI,Ottawa County,20143,Republican,John Kasich,14263,0.24
278,Michigan,MI,Ottawa County,20143,Republican,Donald Trump,11600,0.19
279,Michigan,MI,Ottawa County,20143,Republican,Marco Rubio,7255,0.12
280,Michigan,MI,Presque Isle County,26141,Republican,Donald Trump,916,0.42
281,Michigan,MI,Presque Isle County,26141,Republican,Ted Cruz,524,0.24
282,Michigan,MI,Presque Isle County,26141,Republican,John Kasich,423,0.2
283,Michigan,MI,Presque Isle County,26141,Republican,Marco Rubio,216,0.1
284,Michigan,MI,Roscommon County,26143,Republican,Donald Trump,2257,0.5
285,Michigan,MI,Roscommon County,26143,Republican,Ted Cruz,748,0.17
286,Michigan,MI,Roscommon County,26143,Republican,John Kasich,726,0.16
287,Michigan,MI,Roscommon County,26143,Republican,Marco Rubio,409,0.09
288,Michigan,MI,Saginaw County,26145,Republican,Donald Trump,9106,0.39
289,Michigan,MI,Saginaw County,26145,Republican,Ted Cruz,6536,0.28
290,Michigan,MI,Saginaw County,26145,Republican,John Kasich,4404,0.19
291,Michigan,MI,Saginaw County,26145,Republican,Marco Rubio,2067,0.09
292,Michigan,MI,Sanilac County,26151,Republican,Donald Trump,3279,0.45
293,Michigan,MI,Sanilac County,26151,Republican,Ted Cruz,1588,0.22
294,Michigan,MI,Sanilac County,26151,Republican,John Kasich,1407,0.19
295,Michigan,MI,Sanilac County,26151,Republican,Marco Rubio,568,0.08
296,Michigan,MI,Schoolcraft County,26153,Republican,Donald Trump,529,0.47
297,Michigan,MI,Schoolcraft County,26153,Republican,John Kasich,242,0.22
298,Michigan,MI,Schoolcraft County,26153,Republican,Ted Cruz,217,0.19
299,Michigan,MI,Schoolcraft County,26153,Republican,Marco Rubio,78,0.07
300,Michigan,MI,Shiawassee County,26155,Republican,Donald Trump,3864,0.39
301,Michigan,MI,Shiawassee County,26155,Republican,Ted Cruz,2745,0.27
302,Michigan,MI,Shiawassee County,26155,Republican,John Kasich,1853,0.19
303,Michigan,MI,Shiawassee County,26155,Republican,Marco Rubio,876,0.09
304,Michigan,MI,St. Clair County,1115,Republican,Donald Trump,11995,0.49
305,Michigan,MI,St. Clair County,1115,Republican,John Kasich,5093,0.21
306,Michigan,MI,St. Clair County,1115,Republican,Ted Cruz,4846,0.2
307,Michigan,MI,St. Clair County,1115,Republican,Marco Rubio,1777,0.07
308,Michigan,MI,St. Joseph County,18141,Republican,Ted Cruz,2655,0.34
309,Michigan,MI,St. Joseph County,18141,Republican,Donald Trump,2528,0.32
310,Michigan,MI,St. Joseph County,18141,Republican,John Kasich,1691,0.22
311,Michigan,MI,St. Joseph County,18141,Republican,Marco Rubio,600,0.08
312,Michigan,MI,Tuscola County,26157,Republican,Donald Trump,3750,0.42
313,Michigan,MI,Tuscola County,26157,Republican,Ted Cruz,2668,0.3
314,Michigan,MI,Tuscola County,26157,Republican,John Kasich,1268,0.14
315,Michigan,MI,Tuscola County,26157,Republican,Marco Rubio,658,0.07
316,Michigan,MI,Van Buren County,5141,Republican,Donald Trump,3287,0.35
317,Michigan,MI,Van Buren County,5141,Republican,Ted Cruz,2579,0.28
318,Michigan,MI,Van Buren County,5141,Republican,John Kasich,2092,0.22
319,Michigan,MI,Van Buren County,5141,Republican,Marco Rubio,932,0.1
320,Michigan,MI,Washtenaw County,26161,Republican,John Kasich,12643,0.34
321,Michigan,MI,Washtenaw County,26161,Republican,Donald Trump,10206,0.28
322,Michigan,MI,Washtenaw County,26161,Republican,Ted Cruz,8574,0.23
323,Michigan,MI,Washtenaw County,26161,Republican,Marco Rubio,4101,0.11
324,Michigan,MI,Wayne County,13305,Republican,Donald Trump,55795,0.41
325,Michigan,MI,Wayne County,13305,Republican,John Kasich,38165,0.28
326,Michigan,MI,Wayne County,13305,Republican,Ted Cruz,25155,0.18
327,Michigan,MI,Wayne County,13305,Republican,Marco Rubio,11569,0.08
328,Michigan,MI,Wexford County,26165,Republican,Donald Trump,2578,0.44
329,Michigan,MI,Wexford County,26165,Republican,Ted Cruz,1521,0.26
330,Michigan,MI,Wexford County,26165,Republican,John Kasich,1060,0.18
331,Michigan,MI,Wexford County,26165,Republican,Marco Rubio,395,0.07
